session_id,target
1,0.003496370742984207
2,4.943323745332577e-11
3,5.6620529618834946e-12
4,6.5179551172697385e-09
5,1.2025673533153285e-05
6,0.00013771801478640214
7,0.0006911858036460747
8,0.0001100854943075598
9,0.0012520226006781387
10,0.09555879655050684
11,8.391618892864857e-06
12,8.150264091218887e-05
13,0.00016074296354136777
14,0.33057346343203164
15,3.01035066337179e-05
16,0.0044920181468195855
17,0.01629738934056392
18,1.7407672786539487e-05
19,0.000499216876734231
20,1.6344340723980432e-09
21,0.0680811338825354
22,1.3820408777071932e-09
23,1.3691809251189179e-05
24,0.0008160357197037394
25,0.06998802411131473
26,4.435881113649492e-10
27,0.0007878080261287425
28,3.157036082549423e-08
29,0.016532968555818456
30,1.9210357929739837e-05
31,0.017453352676734795
32,0.046334937586992454
33,0.0006311051827807909
34,2.1767466312681655e-09
35,0.026321279570971405
36,0.00017396393252805896
37,4.383882888784331e-10
38,3.2390603918409263e-10
39,1.9210357929739837e-05
40,1.153025404642248e-05
41,0.0005220796802638351
42,0.0009769298484023367
43,9.528044394573709e-07
44,3.4927707503478153e-06
45,0.1187584784548418
46,4.3535406056275424e-07
47,0.010761742067162695
48,0.00034896724829615
49,1.1105599328816614e-05
50,7.374242139851751e-06
51,1.0729419509760097e-09
52,2.293149688948156e-06
53,0.030795890229937152
54,2.688159072250791e-05
55,6.168913466955185e-06
56,0.0030565089969740566
57,2.159993721936508e-07
58,1.0670052169710334e-05
59,1.6976439178075024e-07
60,1.2845066536057603e-06
61,3.430096129923146e-06
62,0.001304202087117719
63,2.278686208740734e-06
64,4.349874318218155e-05
65,7.52079724778138e-08
66,1.972026757063621e-09
67,0.00015180973291678456
68,7.603487148625168e-05
69,0.08992804399675174
70,7.724464424121445e-05
71,6.243438500801941e-05
72,1.6976439178075024e-07
73,0.02701153844072543
74,4.943323745332577e-11
75,3.6927438271199545e-05
76,0.0002405722690023779
77,0.0001557953932269655
78,0.0015201631187005836
79,1.0377871346901313e-06
80,0.0001091508050884195
81,1.7437128659245593e-05
82,1.3044209429213295e-05
83,4.58107300872977e-09
84,0.2089365341839607
85,1.697264540925046e-06
86,6.53906454390523e-09
87,0.001334246751733065
88,0.0002531857842541162
89,0.0002674286112190507
90,0.024974185045315428
91,7.692296799251598e-05
92,2.4306367451945235e-06
93,0.009175888834248386
94,0.0012179133819960942
95,0.03717426460928928
96,2.6890868828944644e-10
97,9.722404606548652e-05
98,2.322379512463815e-05
99,8.977607891398733e-06
100,3.3635947317301445e-05
101,0.0007036612730049616
102,0.06659970984754872
103,0.004601961912396681
104,0.0013573366313807858
105,8.235295428493673e-07
106,0.0002783980975510456
107,0.00041643955193444796
108,1.9256955883966585e-06
109,5.578113923234286e-06
110,1.9930843425768822e-05
111,7.269882913727853e-05
112,1.941563461497689e-08
113,0.017134058295471804
114,1.992650636648862e-06
115,0.0005143303031272775
116,0.0007601228483264762
117,0.0014034309022600672
118,0.002365481687093352
119,0.006919330876302919
120,3.8214316411656753e-05
121,1.0913034161880968e-05
122,1.9210357929739837e-05
123,0.00028101857543977565
124,1.924108141957569e-07
125,0.00269100416923275
